#	ItemGroupTable			
#	Id		Description	ItemIds
#	int		string	int[]
#	物品组ID	备注	物品组描述	物品ID列表(分号分隔)
	1		初级物资	1,2,3,4
	2		高级装备	12,20,22,23
	3		稀世神装	10,11,19,21,24
	4		传奇宝物	7,8,9,13,14,15,16,17,18
	5		特殊道具	5,6
	6		稀有卡牌解锁物	100,103,106,107,108,112,120,122,123
	7		史诗卡牌解锁物	101,102,104,105,110,113,114,115,116,117,118,119,121
	8		传说卡牌解锁物	109,111
	9		神秘钥匙	5
	10		品质3装备	12,20,22,23
	11		品质4装备	10,11,19,21,24
	15		品质5宝物	7,8,9,13,14,15,16,17,18
	16		所有装备	10,11,12,19,20,21,22,23,24
	17		所有宝物	7,8,9,13,14,15,16,17,18
	18		所有消耗品	1,2,3,4
	19		所有卡牌解锁物	100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
	20		品质1物品	2,3,999
	21		品质2物品	1,100,103,106,107,108,112,120,122,123
	22		品质3物品	4,5,12,20,22,23,101,102,104,105,110,113,114,115,116,117,118,119,121,99999
	23		品质4物品	6,10,11,19,21,24,109,111,9999
	24		品质5物品	7,8,9,13,14,15,16,17,18
	25		货币类	999,9999,99999
	26		任务道具	5,6
	27		日系神器	7,8,9
	28		中式神器	13,14,15
	29		炎魔套装	16,17,18
	30		稀有品质及以上	4,5,12,20,22,23,101,102,104,105,110,113,114,115,116,117,118,119,121,99999,6,10,11,19,21,24,109,111,9999,7,8,9,13,14,15,16,17,18
